legacy_code,erp_code
L001000,G0500000
L001001,G0500001
L001002,G0500002
L001003,G0500003
L001004,G0500004
L001005,G0500005
L001006,G0500006
L001007,G0500007
L001008,G0500008
L001009,G0500009
L001010,G0500010
L001011,G0500011
L001012,G0500012
L001013,G0500013
L001014,G0500014
L001015,G0500015
L001016,G0500016
L001017,G0500017
L001018,G0500018
L001019,G0500019
L001020,G0500020
L001021,G0500021
L001022,G0500022
L001023,G0500023
L001024,G0500024
L001025,G0500025
L001026,G0500026
L001027,G0500027
L001028,G0500028
L001029,G0500029
L001030,G0500030
L001031,G0500031
L001032,G0500032
L001033,G0500033
L001034,G0500034
L001036,G0500036
L001037,G0500037
L001038,G0500038
L001039,G0500039
L001040,G0500040
L001041,G0500041
L001042,G0500042
L001043,G0500043
L001044,G0500044
L001045,G0500045
L001046,G0500046
L001047,G0500047
L001048,G0500048
L001049,G0500049
L001050,G0500050
L001051,G0500051
L001052,G0500052
L001053,G0500053
L001054,G0500054
L001055,G0500055
L001056,G0500056
L001057,G0500057
L001058,G0500058
L001059,G0500059
L001060,G0500060
L001061,G0500061
L001062,G0500062
L001063,G0500063
L001064,G0500064
L001065,G0500065
L001066,G0500066
L001067,G0500067
L001068,G0500068
L001069,G0500069
L001070,G0500070
L001071,G0500071
L001072,G0500072
L001073,G0500073
L001074,G0500074
L001075,G0500075
L001076,G0500076
L001077,G0500077
L001078,G0500078
L001079,G0500079
L001080,G0500080
L001081,G0500081
L001082,G0500082
L001083,G0500083
L001084,G0500084
L001085,G0500085
L001086,G0500086
L001087,G0500087
L001088,G0500088
L001089,G0500089
L001090,G0500090
L001091,G0500091
L001092,G0500092
L001093,G0500093
L001094,G0500094
L001095,G0500095
L001096,G0500096
L001097,G0500097
L001098,G0500098
L001099,G0500099
L001100,G0500100
L001101,G0500101
L001102,G0500102
L001103,G0500103
L001104,G0500104
L001105,G0500105
L001106,G0500106
L001107,G0500107
L001108,G0500108
L001109,G0500109
L001110,G0500110
L001111,G0500111
L001112,G0500112
L001113,G0500113
L001114,G0500114
L001115,G0500115
L001116,G0500116
L001117,G0500117
L001118,G0500118
L001119,G0500119
L001120,G0500120
L001121,G0500121
L001122,G0500122
L001123,G0500123
L001124,G0500124
L001125,G0500125
L001126,G0500126
L001127,G0500127
L001128,G0500128
L001129,G0500129
L001130,G0500130
L001131,G0500131
L001132,G0500132
L001133,G0500133
L001134,G0500134
L001135,G0500135
L001136,G0500136
L001137,G0500137
L001138,G0500138
L001139,G0500139
L001140,G0500140
L001141,G0500141
L001142,G0500142
L001144,G0500144
L001145,G0500145
L001146,G0500146
L001147,G0500147
L001148,G0500148
L001149,G0500149
L001150,G0500150
L001151,G0500151
L001152,G0500152
L001153,G0500153
L001154,G0500154
L001155,G0500155
L001156,G0500156
L001157,G0500157
L001158,G0500158
L001159,G0500159
L001160,G0500160
L001161,G0500161
L001162,G0500162
L001163,G0500163
L001164,G0500164
L001165,G0500165
L001166,G0500166
L001167,G0500167
L001168,G0500168
L001169,G0500169
L001170,G0500170
L001171,G0500171
L001172,G0500172
L001173,G0500173
L001174,G0500174
L001175,G0500175
L001176,G0500176
L001177,G0500177
L001178,G0500178
L001179,G0500179
L001180,G0500180
L001181,G0500181
L001182,G0500182
L001183,G0500183
L001184,G0500184
L001185,G0500185
L001186,G0500186
L001187,G0500187
L001188,G0500188
L001189,G0500189
L001190,G0500190
L001191,G0500191
L001192,G0500192
L001193,G0500193
L001194,G0500194
L001195,G0500195
L001196,G0500196
L001197,G0500197
L001198,G0500198
L001199,G0500199
L001200,G0500200
L001201,G0500201
L001202,G0500202
L001203,G0500203
L001204,G0500204
L001205,G0500205
L001206,G0500206
L001207,G0500207
L001208,G0500208
L001209,G0500209
L001210,G0500210
L001211,G0500211
L001212,G0500212
L001213,G0500213
L001214,G0500214
L001215,G0500215
L001216,G0500216
L001217,G0500217
L001218,G0500218
L001219,G0500219
L001220,G0500220
L001221,G0500221
L001223,G0500223
L001224,G0500224
L001225,G0500225
L001226,G0500226
L001227,G0500227
L001228,G0500228
L001229,G0500229
L001230,G0500230
L001231,G0500231
L001232,G0500232
L001233,G0500233
L001235,G0500235
L001236,G0500236
L001237,G0500237
L001238,G0500238
L001239,G0500239
L001240,G0500240
L001241,G0500241
L001243,G0500243
L001245,G0500245
L001246,G0500246
L001247,G0500247
L001248,G0500248
L001249,G0500249
L001250,G0500250
L001251,G0500251
L001252,G0500252
L001253,G0500253
L001254,G0500254
L001255,G0500255
L001256,G0500256
L001257,G0500257
L001258,G0500258
L001259,G0500259
L001260,G0500260
L001261,G0500261
L001262,G0500262
L001263,G0500263
L001264,G0500264
L001265,G0500265
L001266,G0500266
L001267,G0500267
L001268,G0500268
L001269,G0500269
L001270,G0500270
L001271,G0500271
L001272,G0500272
L001273,G0500273
L001274,G0500274
L001275,G0500275
L001276,G0500276
L001277,G0500277
L001278,G0500278
L001280,G0500280
L001281,G0500281
L001282,G0500282
L001283,G0500283
L001284,G0500284
L001285,G0500285
L001286,G0500286
L001287,G0500287
L001288,G0500288
L001289,G0500289
L001290,G0500290
L001291,G0500291
L001292,G0500292
L001293,G0500293
L001294,G0500294
L001295,G0500295
L001296,G0500296
L001297,G0500297
L001298,G0500298
L001299,G0500299
L001300,G0500300
L001301,G0500301
L001302,G0500302
L001303,G0500303
L001304,G0500304
L001305,G0500305
L001306,G0500306
L001307,G0500307
L001308,G0500308
L001309,G0500309
L001310,G0500310
L001312,G0500312
L001313,G0500313
L001314,G0500314
L001315,G0500315
L001316,G0500316
L001317,G0500317
L001318,G0500318
L001319,G0500319
L001321,G0500321
L001322,G0500322
L001323,G0500323
L001324,G0500324
L001325,G0500325
L001326,G0500326
L001327,G0500327
L001328,G0500328
L001329,G0500329
L001330,G0500330
L001331,G0500331
L001332,G0500332
L001333,G0500333
L001334,G0500334
L001335,G0500335
L001336,G0500336
L001337,G0500337
L001338,G0500338
L001339,G0500339
L001340,G0500340
L001341,G0500341
L001342,G0500342
L001343,G0500343
L001344,G0500344
L001345,G0500345
L001346,G0500346
L001347,G0500347
L001348,G0500348
L001350,G0500350
L001351,G0500351
L001352,G0500352
L001353,G0500353
L001354,G0500354
L001355,G0500355
L001356,G0500356
L001357,G0500357
L001358,G0500358
L001359,G0500359
L001360,G0500360
L001361,G0500361
L001362,G0500362
L001363,G0500363
L001365,G0500365
L001366,G0500366
L001367,G0500367
L001368,G0500368
L001369,G0500369
L001370,G0500370
L001371,G0500371
L001372,G0500372
L001373,G0500373
L001374,G0500374
L001375,G0500375
L001376,G0500376
L001377,G0500377
L001378,G0500378
L001379,G0500379
L001380,G0500380
L001381,G0500381
L001382,G0500382
L001383,G0500383
L001384,G0500384
L001385,G0500385
L001386,G0500386
L001387,G0500387
L001388,G0500388
L001389,G0500389
L001390,G0500390
L001392,G0500392
L001393,G0500393
L001394,G0500394
L001395,G0500395
L001396,G0500396
L001397,G0500397
L001398,G0500398
L001399,G0500399
L001400,G0500400
L001401,G0500401
L001402,G0500402
L001403,G0500403
L001404,G0500404
L001405,G0500405
L001406,G0500406
L001407,G0500407
L001408,G0500408
L001409,G0500409
L001410,G0500410
L001411,G0500411
L001412,G0500412
L001413,G0500413
L001414,G0500414
L001415,G0500415
L001416,G0500416
L001417,G0500417
L001418,G0500418
L001419,G0500419
L001421,G0500421
L001422,G0500422
L001423,G0500423
L001424,G0500424
L001425,G0500425
L001426,G0500426
L001427,G0500427
L001429,G0500429
L001430,G0500430
L001431,G0500431
L001432,G0500432
L001433,G0500433
L001434,G0500434
L001435,G0500435
L001436,G0500436
L001437,G0500437
L001438,G0500438
L001439,G0500439
L001440,G0500440
L001441,G0500441
L001442,G0500442
L001443,G0500443
L001444,G0500444
L001445,G0500445
L001447,G0500447
L001448,G0500448
L001449,G0500449
L001450,G0500450
L001451,G0500451
L001452,G0500452
L001453,G0500453
L001454,G0500454
L001455,G0500455
L001456,G0500456
L001457,G0500457
L001458,G0500458
L001459,G0500459
L001460,G0500460
L001461,G0500461
L001462,G0500462
L001463,G0500463
L001464,G0500464
L001465,G0500465
L001466,G0500466
L001467,G0500467
L001468,G0500468
L001469,G0500469
L001470,G0500470
L001471,G0500471
L001472,G0500472
L001473,G0500473
L001474,G0500474
L001475,G0500475
L001476,G0500476
L001477,G0500477
L001478,G0500478
L001479,G0500479
L001480,G0500480
L001481,G0500481
L001482,G0500482
L001483,G0500483
L001484,G0500484
L001485,G0500485
L001486,G0500486
L001487,G0500487
L001488,G0500488
L001489,G0500489
L001490,G0500490
L001491,G0500491
L001492,G0500492
L001493,G0500493
L001494,G0500494
L001495,G0500495
L001496,G0500496
L001497,G0500497
L001498,G0500498
L001499,G0500499
L951511,G0500031
L960617,G0500003
L986450,G0500463
L925722,G0500187
L912792,G0500025
L960587,G0500392
L983054,G0500065
L904115,G0500023
L925667,G0500218
L986798,G0500249
